command                 description
addcluster              Adds an existing cluster to the management node.
addstoragesystem        Registers the storage system with the system.
applysoftware           Applies a new software package to the system.
attachnw                Attaches a specified network to a specified network group.
backupmanagementnode    Backs up a management node.
catxmlspec              Return an XML representation of the command set
cfgad                   Configures the Active Directory server-based authentication for the cluster.
cfgaos                  Sets up and queries AOS (Assist on Site) remote access service.
cfgav                   Modifies the antivirus configuration options.
cfgbackupfs             Defines the Tivoli Storage Manager server on which a file system should be backed up and by which nodes.
cfgcallhome             Configures or sets the Call Home options on the current system.
cfgcluster              Starts the post-installation steps that are required before the cluster can be configured.
cfghsmfs                Configures the file systems to be enabled for hierarchical storage management (HSM).
cfghsmnodes             Configures nodes to be enabled for hierarchical storage management (HSM).
cfgidmap                Configure the cluster with ID mapping services
cfgldap                 Configures an LDAP server or an LDAP with Kerberos server on all the nodes present in the cluster with the input values.
cfglocalauth            Configures the Local Auth.
cfgndmp                 Configures the NDMP server on a group of nodes of a cluster.
cfgndmpprefetch         Configures the NDMP prefetch settings on a group of nodes of a cluster.
cfgnis                  Configures the Network Information Service (NIS).
cfgnt4                  Configures the Microsoft Windows NT 4.0 (NT4) server on all the nodes present in the cluster using the input values.
cfgperfcenter           Configures Performance Center services on nodes.
cfgrepl                 Configures asynchronous replication for nodes.
cfgreplfs               Defines a relationship between a local file system and a target directory on a remote cluster for replication.
cfgsfu                  Configures the cluster with Services For UNIX (SFU) user mapping services.
cfgtsmnode              Configures the Tivoli Storage Manager node by defining the node name, node password, and by adding a Tivoli Storage Manager server stanza.
chacl                   Change the ACL for a specified file or directory.
chbackupfs              Modifies the list of backup nodes for a file system.
chbanner                Modifies the banner for all the nodes of the system.
chcfg                   Changes the configuration data for a cluster.
chcluster               Change the cluster attributes
chdept                  Change department.
chdisk                  Changes a disk.
chemail                 Changes email notification configuration.
chemailserver           Changes email server definition.
chemailuser             Changes the settings of an email user.
chexport                Modifies the protocols and their settings of an existing share.
chfs                    Changes the properties of the file system.
chfset                  Changes a file set.
chkauth                 Checks authentication settings of a cluster.
chkdept                 Checks departments status.
chkfs                   Checks and repairs a file system.
chkpolicy               Checks a policy on the nodes of a specified cluster.
chkquota                Checks file system user, group, and file set quotas.
chnasuser               Modify a local authentication nas user.
chnfsserver             Changes the NFS server stack.
chnw                    Modifies a network configuration for a subnet.
chnwgroup               Adds or removes nodes to or from a specified network group.
chnwmgt                 Changes basic network configuration settings.
chowner                 Change owner for a specified file or directory.
chpasswordpolicy        Changes password policy applicable to the whole cluster.
chpolicy                Changes an existing policy, adds and/or removes rule declarations.
chpsnaptask             Changes the psnap tasks.
chrootpwd               Changes the root password on cluster nodes at the same time.
chservice               Changes the configuration of a protocol service.
chsessionpolicy         Changes session policy applicable to the whole cluster.
chsettings              Change settings applicable to the whole cluster.
chsnapassoc             Changes the snapshot rule associated with a file set or file-system.
chsnaprule              Changes a snapshot rule.
chsnmpserver            Changes an existing SNMP server definition.
chstoragesystem         Changes the details of the storage system.
chsyslogserver          Changes an external syslog server configuration.
chuser                  Modifies an administrative user ID for the system.
chusergrp               Changes the attributes of a user group.
chwcache                Modifies a caching file set.
chwcachesource          Modifies an existing wan caching share. Administrator can add or remove clients
cleanupauth             Clean up the authentication and id map configuration
cleanuprepl             Deletes replication logs.
ctlavbulk               Runs bulk scan.
ctlwcache               Performs operations on cached filesets.
detachnw                Detaches a network from an interface of a network group.
dumpallmdiskbadblocks   Writes the bad block counts and locations that are on a specified MDisk to a dump file for use by fix procedures.
dumpmdiskbadblocks      Writes the bad block counts and locations that are on a specified MDisk to a dump file for use by fix procedures.
dumptrace               Capture in memory trace of the filesystem and restart in memory tracing.
enablelicense           Enables the license agreement flag. After the license is enabled, user access to the GUI panels is restricted until the user accepts the license.
help                    Displays the help screen.
initnode                Stops or restarts the node.
linkfset                Links a file set.
locatenode              Enables, disables, or blinks the system locator LEDs on any SONAS node.
lookupname              Translates a user ID or group ID into a NAS user or group name.
lsacl                   Displays the access control list (ACL) of a file or directory.
lsaudit                 List the audit log entries.
lsauth                  Lists authentication settings of a cluster.
lsav                    Displays the current antivirus configuration.
lsbackupfs              Lists file system to the TSM server and backup node associations.
lsbanner                Lists the banner for SONAS systems.
lscallhome              Lists the actual Call Home configuration.
lscallhomelog           List the call home event log entries.
lscfg                   Displays the current configuration data for a cluster.
lsclone                 Lists the parents of the clone file, both the source and the parent file.
lscluster               Lists all the clusters of the system.
lscurrentuser           Lists details of the user who is currently logged in.
lsdept                  List the departments
lsdisk                  Lists all the disks.
lsemailserver           Lists the email-server definitions.
lsemailuser             Lists all the email users.
lsexport                Lists exports.
lsfs                    Lists all the filesystems on a given device in a cluster.
lsfset                  Lists file sets for a given device in a cluster.
lshealth                Lists the overall status of the system.
lshsm                   Lists all the hierarchical storage management (HSM)-enabled file systems in the cluster.
lshsmlog                Lists hierarchical storage management (HSM) log messages.
lshsmstatus             Lists the status of the hierarchical storage management (HSM)-enabled nodes in the cluster.
lsidmap                 Display ID mappings configured on cluster
lsjobstatus             Shows the status of currently running or already finished jobs.
lslog                   Lists the event log entries.
lsmgr                   Displays the node that is the file system manager for specified file systems or the node that is the cluster manager.
lsmount                 Lists the mounted file systems that belong to the cluster and file system.
lsnasgroup              List all the NAS groups.
lsnasuser               List all the NAS users.
lsndmp                  Lists NDMP data server settings of a sub-group of existing interface nodes of a preconfigured cluster.
lsndmplog               Shows NDMP logs of existing interface nodes of a preconfigured cluster.
lsndmpprefetch          Shows the status of prefetch on the interface nodes of the NDMP node group.
lsndmpsession           Lists NDMP data sessions on existing interface nodes of a preconfigured cluster.
lsnfsserver             List the active NFS server stack of a cluster.
lsnode                  Lists all Nodes.
lsnw                    Lists public network configurations for the current cluster.
lsnwdns                 Lists DNS configurations for the current cluster.
lsnwgroup               Lists network group configurations for the current cluster.
lsnwinterface           Lists the network interfaces.
lsnwmgt                 Lists the service IP address configuration of the management nodes.
lsnwnatgateway          Lists NAT gateway configurations for the current cluster.
lsnwntp                 Lists NTP configurations for the current cluster.
